,Filmtitel,page_link,Starttermin,Regie,Darsteller,Foto,Verleih,Produktionsland,Trailer
0,Contemporary Past - Die Gegenwart der Vergangenheit ,https://www.kino-zeit.de/node/50404,01.10.2020,Kamil Majchrzak,,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-07/ContemporaryPast_Still_1_%C2%A9KamilMajchrzak.jpg?itok=uYxauo1F,Les Funambules Filmproduktion,Polen,www.youtube.com/watch?v=giztjqXoQek
1,Die Misswahl - Der Beginn einer Revolution ,https://www.kino-zeit.de/node/48346,01.10.2020,Philippa Lowthorpe,"Keira Knightley, Gugu Mbatha-Raw, Jessie Buckley, Keeley Hawes, Suki Waterhouse, Rhys Ifans, Greg Kinnear, Lesley Manville",https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-03/diemisswahl_filmstill_07_a4.jpg?itok=z2H-UR4x,"eOne , Paramount Pictures Germany GmbH",Großbritannien,www.youtube.com/watch?v=3Qqy6IeVum8
2,Drachenreiter ,https://www.kino-zeit.de/node/49005,01.10.2020,Tomer Eshed,,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-08/drachenreiter_filmstill_10_hq.jpg?itok=ctKzjiEc,Constantin Filmverleih,Deutschland,www.youtube.com/watch?v=1BT7g6wcGhs
3,Enfant Terrible ,https://www.kino-zeit.de/node/48025,01.10.2020,Oskar Roehler,"Oliver Masucci, Katja Riemann, Hary Prinz, Anton Rattinger, Felix Hellmann",https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-03/16_EnfantTerrible_OliverMasucciBavariaFilmproduktion.jpg?itok=yIvsuQMD,Weltkino Filmverleih,,www.youtube.com/watch?v=taggXKKa0RA
4,Good Kisser ,https://www.kino-zeit.de/node/50833,01.10.2020,Wendy Jo Carlton,"Kari Alison Hodge, Julia Eringer, Courtney McCullough, Rachel Paulson, Carter Rodriquez",https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-09/goodkisser_filmstill_06.jpg?itok=BlLjDMzz,Pro-Fun Media Filmverleih,USA,www.youtube.com/watch?v=paHdPYlf21A
5,"Gott, du kannst ein Arsch sein! ",https://www.kino-zeit.de/node/50476,01.10.2020,André Erkau,"Til Schweiger, Heike Makatsch, Benno Fürmann, Max Hubacher, Jürgen Vogel",https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-08/gottdukannsteinarschsein_filmstill_02_300dpi.jpg?itok=mopG_Hpl,Leonine,Deutschland,www.youtube.com/watch?v=WQHiwRNvSiE
6,Hurtigruten und Norwegen ,https://www.kino-zeit.de/node/50852,01.10.2020,Volker Wischnowski,,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-09/hurtigrutenundnorwegen_filmstill_02.jpg?itok=XyIZYYMU,imFilm Agentur + Verleih,Deutschland,couldnt find youtube trailer
7,Jim Knopf und die wilde 13 ,https://www.kino-zeit.de/node/48472,01.10.2020,Dennis Gansel,"Henning Baum, Michael Bully Herbig, Solomon Gordon, Christoph Maria Herbst",https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-08/rev-1-ger_knopf13_szenenbild_75625_high_res_jpeg.jpeg?itok=sxqt_HYB,Warner Bros. Entertainment GmbH ,Deutschland,www.youtube.com/watch?v=JwG3kZSox2g
8,Niemals Selten Manchmal Immer ,https://www.kino-zeit.de/node/48347,01.10.2020,Eliza Hittman,"Talia Ryder, Sidney Flanigan, Théodore Pellerin, Ryan Eggold",https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2019-12/never-rarely-sometimes-always-filmbild1.jpg?itok=_x0CE45m,Universal Pictures International Germany GmbH,"USA, Großbritannien",www.youtube.com/watch?v=tdz_Si1IffM
9,On the Rocks ,https://www.kino-zeit.de/node/50572,02.10.2020,Sofia Coppola,"Rashida Jones, Bill Murray, Marlon Wayans, Jenny Slate, Jules Willcox",https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-08/on-the-rocks-2.jpg?itok=Rn1GV62H,"A24, Trafalgar Releasing",USA,www.youtube.com/watch?v=Xn3sK4WiviA
10,Streltsov ,https://www.kino-zeit.de/node/50783,04.10.2020,Ilya Uchitel,"Alexander Petrov, Stasya Miloslavskaya, Aleksandr Yatsenko, Vitaliy Khaev",https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-09/streltsov_9.jpg?itok=N-YNoNnl,Kinostar,Russland,www.youtube.com/watch?v=i5cTIyM3KoU
