,start,film,director,actor,link,image,distro,country,trailer
0,01.10.2020,Contemporary Past - Die Gegenwart der Vergangenheit ,Kamil Majchrzak,,https://www.kino-zeit.de/node/50404,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-07/ContemporaryPast_Still_1_%C2%A9KamilMajchrzak.jpg,Les Funambules Filmproduktion,Polen,www.youtube.com/watch?v=giztjqXoQek
1,01.10.2020,Die Misswahl - Der Beginn einer Revolution ,Philippa Lowthorpe,"Keira Knightley, Gugu Mbatha-Raw, Jessie Buckley, Keeley Hawes, Suki Waterhouse, Rhys Ifans, Greg Kinnear, Lesley Manville",https://www.kino-zeit.de/node/48346,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-03/diemisswahl_filmstill_07_a4.jpg,"eOne , Paramount Pictures Germany GmbH",Großbritannien,www.youtube.com/watch?v=3Qqy6IeVum8
2,01.10.2020,Drachenreiter ,Tomer Eshed,,https://www.kino-zeit.de/node/49005,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-08/drachenreiter_filmstill_10_hq.jpg,Constantin Filmverleih,Deutschland,www.youtube.com/watch?v=1BT7g6wcGhs
3,01.10.2020,Enfant Terrible ,Oskar Roehler,"Oliver Masucci, Katja Riemann, Hary Prinz, Anton Rattinger, Felix Hellmann",https://www.kino-zeit.de/node/48025,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-03/16_EnfantTerrible_OliverMasucciBavariaFilmproduktion.jpg,Weltkino Filmverleih,,www.youtube.com/watch?v=taggXKKa0RA
4,01.10.2020,Good Kisser ,Wendy Jo Carlton,"Kari Alison Hodge, Julia Eringer, Courtney McCullough, Rachel Paulson, Carter Rodriquez",https://www.kino-zeit.de/node/50833,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-09/goodkisser_filmstill_06.jpg,Pro-Fun Media Filmverleih,USA,www.youtube.com/watch?v=paHdPYlf21A
5,01.10.2020,"Gott, du kannst ein Arsch sein! ",André Erkau,"Til Schweiger, Heike Makatsch, Benno Fürmann, Max Hubacher, Jürgen Vogel",https://www.kino-zeit.de/node/50476,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-08/gottdukannsteinarschsein_filmstill_02_300dpi.jpg,Leonine,Deutschland,www.youtube.com/watch?v=WQHiwRNvSiE
6,01.10.2020,Hurtigruten und Norwegen ,Volker Wischnowski,,https://www.kino-zeit.de/node/50852,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-09/hurtigrutenundnorwegen_filmstill_02.jpg,imFilm Agentur + Verleih,Deutschland,www.youtube.com/watch?v=2NmadshVF14
7,01.10.2020,Jim Knopf und die wilde 13 ,Dennis Gansel,"Henning Baum, Michael Bully Herbig, Solomon Gordon, Christoph Maria Herbst",https://www.kino-zeit.de/node/48472,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-08/rev-1-ger_knopf13_szenenbild_75625_high_res_jpeg.jpeg,Warner Bros. Entertainment GmbH ,Deutschland,www.youtube.com/watch?v=2BqgGqQDuxo
8,01.10.2020,Niemals Selten Manchmal Immer ,Eliza Hittman,"Talia Ryder, Sidney Flanigan, Théodore Pellerin, Ryan Eggold",https://www.kino-zeit.de/node/48347,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2019-12/never-rarely-sometimes-always-filmbild1.jpg,Universal Pictures International Germany GmbH,"USA, Großbritannien",www.youtube.com/watch?v=tdz_Si1IffM
9,02.10.2020,On the Rocks ,Sofia Coppola,"Rashida Jones, Bill Murray, Marlon Wayans, Jenny Slate, Jules Willcox",https://www.kino-zeit.de/node/50572,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-08/on-the-rocks-2.jpg,"A24, Trafalgar Releasing",USA,www.youtube.com/watch?v=Xn3sK4WiviA
10,04.10.2020,Streltsov ,Ilya Uchitel,"Alexander Petrov, Stasya Miloslavskaya, Aleksandr Yatsenko, Vitaliy Khaev",https://www.kino-zeit.de/node/50783,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-09/streltsov_9.jpg,Kinostar,Russland,www.youtube.com/watch?v=87W4vEOZg88
11,01.10.2020,The Trial of the Chicago 7 ,Aaron Sorkin,"Sacha Baron Cohen, Eddie Redmayne, Alex Sharp, Jeremy Strong, Mark Rylance, Joseph Gordon-Levitt, John Carroll Lynch, Yahya Abdul-Mateen II, Michael Keaton, Frank Langella, Ben Shenkman",https://www.kino-zeit.de/node/50731,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-09/the-trial-of-the-chicago-7-2.jpg,,USA,www.youtube.com/watch?v=FVb6EdKDBfU
12,08.10.2020,Eine Frau mit berauschenden Talenten ,Jean-Paul Salomé,"Isabelle Huppert, Hippolyte Girardot, Farida Ouchani, Liliane Rovère",https://www.kino-zeit.de/node/49468,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-04/eine_frau_mit_berauschenden_talenten_2.jpg,Neue Visionen,Frankreich,www.youtube.com/watch?v=KQqTExbtJGA
13,08.10.2020,Es ist zu deinem Besten ,Marc Rothemund,"Heiner Lauterbach, Jürgen Vogel, Hilmi Sözer, Marie-Lou Sellem, Lisa Maria Potthoff, Inka Friedrich",https://www.kino-zeit.de/node/50429,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-10/esistzudeinembesten_003.jpg,STUDIOCANAL GmbH Filmverleih,Deutschland,www.youtube.com/watch?v=NGtsSuAGQro
14,08.10.2020,Gloria Mundi ,Robert Guédiguian,"Ariane Ascaride, Jean-Pierre Darroussin, Gérard Meylan, Anaïs Demoustier",https://www.kino-zeit.de/node/45827,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2019-03/gloria-mundi-filmbild1.jpg,Film Kino Text,"Frankreich, Italien",www.youtube.com/watch?v=f7CssxZ877w
15,10.10.2020,Horror Noire: A History of Horror ,Xavier Burgin,,https://www.kino-zeit.de/node/50824,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-09/horror_noire_2.jpg,Drop-Out Cinema eG,USA,www.youtube.com/watch?v=pQI3RMdp_JI
16,08.10.2020,I Miss You ,Rodrigo Bellott,"Oscar Martínez, Rossy de Palma, Fernando Barbosa, Rick Cosnett",https://www.kino-zeit.de/node/50216,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-07/i-miss-you-1.png,Pro-Fun Media,"Bolivien, USA",www.youtube.com/watch?v=3Sq7qhsaB2A
17,08.10.2020,Im Berg dahuim ,"Thomas Rickenmann, Rahel von Gunten",,https://www.kino-zeit.de/node/50889,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2018-01/Platzhalter.jpg,ExtraMileFilms,Deutschland,www.youtube.com/watch?v=vVcQ1rhlGxE
18,08.10.2020,Im Stillen laut ,Therese Koppe,,https://www.kino-zeit.de/node/50659,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-09/Im_Stillen_laut_1.jpg,Salzgeber & Co. Medien GmbH,Deutschland,www.youtube.com/watch?v=AZ45RU_RFWM
19,08.10.2020,Milla meets Moses ,Shannon Murphy,"Eliza Scanlen, Toby Wallace, Emily Barclay, Eugene Gilfedder, Essie Davis, Ben Mendelsohn",https://www.kino-zeit.de/node/47299,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2019-08/babyteeth-filmbild1.jpg,"X Verleih, Warner Bros. Entertainment GmbH ",Australien,www.youtube.com/watch?v=70KNXfa052g
20,08.10.2020,Peninsula ,Yeon Sang-ho,"Dong-Won Gang, Jung-hyun Lee",https://www.kino-zeit.de/node/49141,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-03/peninsula-filmstill.jpg,Splendid Film,Südkorea,www.youtube.com/watch?v=2Vi_e0L4RBg
21,08.10.2020,"Unser Boden, unser Erbe ",Marc Uhlig,,https://www.kino-zeit.de/node/48460,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-08/unserbodenunsererbe_filmstill_03_web.jpg,W-Film,Deutschland,www.youtube.com/watch?v=sNDuYLk4Qws
22,08.10.2020,Zombi Child ,Bertrand Bonello,"Louise Labeque, Adilé David, Katiana Milfort, Mackenson Bijou",https://www.kino-zeit.de/node/45101,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2019-05/Zombi_Child_filmbild1.jpg,Grandfilm,Frankreich,www.youtube.com/watch?v=23pNPezU1RI
